Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
4237.611713,2.4978588,3.0573471,13.640113,C001,T005,,
4237.613763,2.4979506,3.0621858,13.646107,C001,T005,,
4237.615814,2.5039439,3.0423646,13.621513,C001,T005,,
4237.617864,2.5071125,3.0404193,13.619093,C001,T005,,
4237.619915,2.5062823,3.0494871,13.630364,C001,T005,,
4237.621965,2.4971108,3.1066451,13.700855,C001,T005,,
4237.624016,2.5018721,3.0939384,13.685266,C001,T005,,
4237.626066,2.4963198,3.1123087,13.707789,C001,T005,,
4237.628117,2.5040212,3.0889239,13.679101,C001,T005,,
4237.630167,2.5078681,3.0815041,13.669966,C001,T005,,
4237.632218,2.4928732,3.1722469,13.780615,C001,T005,,
4237.634268,2.4911516,3.1865177,13.797808,C001,T005,,
4237.636319,2.4790075,3.2392809,13.860895,C001,T005,,
4237.638369,2.4741366,3.2435203,13.865932,C001,T005,,
4237.64042,2.477586,3.2336776,13.854231,C001,T005,,
4237.642471,2.4838626,3.2252512,13.844193,C001,T005,,
4237.644521,2.4908552,3.1808538,13.790991,C001,T005,,
4237.646572,2.4759302,3.2826073,13.912147,C001,T005,,
4237.648622,2.4717495,3.3007159,13.933423,C001,T005,,
4237.650673,2.4835894,3.2710054,13.898471,C001,T005,,
4237.652723,2.4968004,3.2101805,13.826193,C001,T005,,
4237.654774,2.5022116,3.1900392,13.802042,C001,T005,,
4237.656824,2.4942029,3.2411983,13.863174,C001,T005,,
4237.658875,2.4924235,3.261502,13.887242,C001,T005,,
4237.660925,2.4904945,3.2842662,13.914099,C001,T005,,
4237.662976,2.5040412,3.2163274,13.833542,C001,T005,,
4237.665026,2.4887114,3.3055382,13.939074,C001,T005,,
4237.667077,2.5001984,3.2454259,13.868194,C001,T005,,
4237.669127,2.4969618,3.2662976,13.892911,C001,T005,,
4237.671178,2.4914484,3.3109972,13.945465,C001,T005,,
4237.673228,2.4948897,3.3087182,13.942798,C001,T005,,
4237.675279,2.4929554,3.3457303,13.985949,C001,T005,,
4237.677329,2.503155,3.3210378,13.957199,C001,T005,,
4237.67938,2.4955332,3.3866045,14.033203,C001,T005,,
4237.68143,2.4963031,3.3977785,14.046049,C001,T005,,
4237.683481,2.4871497,3.4774625,14.136786,C001,T005,,
4237.685532,2.4870396,3.5247798,14.189958,C001,T005,,
4237.687582,2.4839575,3.5697126,14.239975,C001,T005,,
4237.689633,2.4825625,3.6289303,14.305204,C001,T005,,
4237.691683,2.4853325,3.6424384,14.319976,C001,T005,,
4237.693734,2.4753513,3.7367005,14.421968,C001,T005,,
4237.695784,2.4635322,3.8547063,14.547064,C001,T005,,
4237.697835,2.4663851,3.8685625,14.561571,C001,T005,,
4237.699885,2.4590983,3.9453506,14.64129,C001,T005,,
4237.701936,2.4517436,4.0157628,14.71341,C001,T005,,
4237.703986,2.4496984,4.0598087,14.758062,C001,T005,,
4237.706037,2.4379933,4.1846185,14.882716,C001,T005,,
4237.708087,2.4475553,4.1728058,14.871034,C001,T005,,
4237.710138,2.4386532,4.2816997,14.977832,C001,T005,,
4237.712188,2.4364302,4.3405242,15.03471,C001,T005,,
4237.714239,2.4376264,4.3731375,15.066004,C001,T005,,
4237.716289,2.4279718,4.4947562,15.181241,C001,T005,,
4237.71834,2.4129491,4.640945,15.316814,C001,T005,,
4237.72039,2.4003432,4.8137569,15.473157,C001,T005,,
4237.722441,2.3932252,4.9516606,15.595035,C001,T005,,
